CustomerID,Gender,Age,PlanType,ContractType,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,TenureMonths,PaymentMethod,Region,MonthlyCharges,TotalCharges,SupportCallsLast90d,AvgDownlinkMbps,ChurnProb,Churn
CUST100000,Male,30,Prepaid,One year,Yes,No,Fiber,Yes,Yes,Yes,No,53,UPI,West,940.22,49799.17,2,133.9,0.08,No
CUST100001,Female,20,Postpaid,One year,Yes,No,Fiber,No,Yes,Yes,No,64,BankTransfer,East,984.75,62888.49,4,127.5,0.154,No
CUST100002,Female,57,Postpaid,Month-to-month,Yes,Yes,Fiber,None,Yes,Yes,No,41,BankTransfer,North,1060.81,43387.13,2,126.7,0.331,No
CUST100003,Male,61,Prepaid,Month-to-month,Yes,Yes,DSL,Yes,No,Yes,Yes,30,Card,South,633.6,19098.2,1,32.4,0.431,No
CUST100004,Male,66,Prepaid,Month-to-month,Yes,No,DSL,Yes,No,None,Yes,0,Wallet,North,641.6,0.0,2,34.2,0.663,No
CUST100005,Female,77,Postpaid,Month-to-month,Yes,No,DSL,No,None,No,No,44,UPI,East,811.9,35750.27,1,25.8,0.378,No
CUST100006,Male,49,Postpaid,Month-to-month,Yes,No,DSL,Yes,None,Yes,No,66,UPI,East,687.16,45814.42,1,21.6,0.299,No
CUST100007,Female,70,Postpaid,Two year,No,No,Fiber,No,Yes,No,Yes,10,Wallet,West,928.52,8970.97,0,115.6,0.264,Yes
CUST100008,Male,63,Postpaid,Month-to-month,Yes,No,Fiber,No,No,No,No,17,UPI,South,1080.65,18289.86,2,106.9,0.452,No
CUST100009,Male,35,Postpaid,Month-to-month,Yes,Yes,Fiber,No,Yes,Yes,Yes,38,BankTransfer,North,1038.75,39484.76,2,124.6,0.346,No
CUST100010,Female,71,Prepaid,One year,Yes,No,DSL,No,Yes,Yes,No,38,UPI,North,466.09,17358.62,1,20.0,0.29,No
CUST100011,Female,21,Postpaid,Month-to-month,Yes,No,DSL,No,Yes,No,None,30,Card,West,672.6,20281.41,3,36.5,0.506,No
CUST100012,Female,55,Prepaid,Month-to-month,Yes,Yes,Fiber,No,Yes,No,Yes,10,Card,West,1146.67,11645.76,2,126.8,0.36,No
CUST100013,Female,77,Postpaid,Month-to-month,Yes,No,DSL,Yes,No,Yes,None,35,Wallet,South,724.42,25077.02,1,32.6,0.575,No
CUST100014,Female,59,Prepaid,Two year,Yes,Yes,None,No,No,None,No,36,Wallet,South,150.0,5383.72,1,1.0,0.284,Yes
CUST100015,Female,77,Prepaid,Month-to-month,No,Yes,Fiber,No,No,No,None,13,Wallet,West,1047.55,13654.77,4,111.5,0.434,Yes
CUST100016,Female,21,Postpaid,One year,Yes,No,Fiber,Yes,No,No,No,44,BankTransfer,South,1125.71,49646.18,0,112.7,0.127,No
CUST100017,Male,51,Postpaid,One year,No,Yes,None,Yes,No,Yes,None,63,UPI,West,209.95,13760.64,0,1.0,0.096,No
CUST100018,Female,67,Postpaid,Month-to-month,Yes,No,DSL,No,No,No,No,6,Card,West,635.49,3664.68,1,29.9,0.726,Yes
CUST100019,Male,58,Postpaid,One year,Yes,No,Fiber,No,None,No,Yes,5,UPI,East,1003.43,5124.63,0,118.9,0.346,No
CUST100020,Female,73,Postpaid,Month-to-month,No,No,Fiber,No,No,Yes,None,41,UPI,East,1112.09,45570.19,2,139.1,0.236,No
CUST100021,Male,47,Postpaid,Month-to-month,No,No,DSL,Yes,No,None,None,57,UPI,North,700.83,39887.68,1,48.6,0.212,No
CUST100022,Male,61,Postpaid,Month-to-month,Yes,Yes,Fiber,Yes,No,No,Yes,7,BankTransfer,North,1152.64,8071.72,2,135.3,0.519,No
CUST100023,Female,44,Postpaid,Two year,Yes,Yes,DSL,None,No,Yes,No,68,Card,West,554.99,37821.47,0,28.0,0.142,No
CUST100024,Female,72,Postpaid,Month-to-month,Yes,No,Fiber,Yes,Yes,Yes,None,34,UPI,North,962.85,32738.83,2,105.9,0.341,No
CUST100025,Female,25,Postpaid,Month-to-month,Yes,Yes,Fiber,None,No,Yes,No,7,BankTransfer,North,1103.59,7780.21,2,121.8,0.495,No
CUST100026,Male,34,Postpaid,Two year,Yes,Yes,Fiber,No,None,None,No,32,BankTransfer,West,970.19,31030.0,2,117.5,0.172,No
CUST100027,Female,24,Prepaid,Month-to-month,Yes,Yes,Fiber,No,None,Yes,Yes,31,UPI,North,1046.94,32267.74,4,120.4,0.405,No
CUST100028,Female,62,Postpaid,Two year,Yes,No,DSL,Yes,Yes,No,No,28,UPI,East,507.57,14377.07,0,34.3,0.265,Yes
