ComplaintID,CustomerID,Date,IssueCategory,Channel,ComplaintText,Sentiment
COMP0000001,CUST100000,2024-12-04,Value,Twitter,Hidden charges reduce the value. Please resolve ASAP.,Negative
COMP0000002,CUST100000,2025-03-22,Customer_Service,Email,Chat support keeps closing my case.,Neutral
COMP0000003,CUST100001,2025-09-11,Speed,App,Downloads are extremely slow in the evening.,Negative
COMP0000004,CUST100002,2024-12-02,Coverage,Email,Coverage maps seem inaccurate. Kindly look into this.,Neutral
COMP0000005,CUST100002,2024-03-06,Network,Call,SIM shows no service randomly. Please resolve ASAP.,Neutral
COMP0000006,CUST100003,2024-03-28,Activation,Call,eSIM activation failed twice.,Positive
COMP0000007,CUST100003,2024-01-29,Portability,Call,Need help to port to your network. Kindly look into this.,Negative
COMP0000008,CUST100004,2025-06-07,Customer_Service,Call,Chat support keeps closing my case.,Negative
COMP0000009,CUST100004,2024-09-14,Billing,App,Why are fees so high this cycle? Please resolve ASAP.,Neutral
COMP0000010,CUST100005,2025-10-08,Portability,App,Need help to port to your network.,Positive
COMP0000011,CUST100006,2025-05-21,Network,App,SIM shows no service randomly. Requesting a quick fix.,Negative
COMP0000012,CUST100007,2024-07-27,Customer_Service,Email,Agent promised a callback that never came. Kindly look into this.,Neutral
COMP0000013,CUST100009,2025-10-07,Coverage,Call,Coverage maps seem inaccurate.,Negative
COMP0000014,CUST100009,2024-09-02,Customer_Service,Email,Support is not responding to tickets. Kindly look into this.,Negative
COMP0000015,CUST100010,2024-02-13,Portability,Web,Port request denied without reason. Please resolve ASAP.,Negative
COMP0000016,CUST100011,2024-12-07,Value,Twitter,Not satisfied with the value of the service. Please resolve ASAP.,Negative
COMP0000017,CUST100014,2025-06-12,Network,App,No signal inside my home for hours.,Negative
COMP0000018,CUST100015,2024-04-26,Activation,Call,eSIM activation failed twice. Kindly look into this.,Negative
COMP0000019,CUST100017,2024-10-10,Customer_Service,Email,Chat support keeps closing my case. Kindly look into this.,Neutral
COMP0000020,CUST100018,2024-10-26,Portability,Call,Porting code (UPC) not received. Please resolve ASAP.,Neutral
COMP0000021,CUST100019,2024-11-01,Billing,Call,My bill is incorrect this month. Please resolve ASAP.,Negative
COMP0000022,CUST100019,2024-12-07,Portability,App,Porting code (UPC) not received.,Neutral
COMP0000023,CUST100020,2024-04-26,Network,Call,SIM shows no service randomly.,Negative
COMP0000024,CUST100023,2025-09-23,Coverage,App,Signal is weak along my commute route.,Negative
COMP0000025,CUST100025,2025-06-08,Customer_Service,Email,Chat support keeps closing my case. Kindly look into this.,Negative
COMP0000026,CUST100026,2024-11-22,Coverage,Call,Signal is weak along my commute route. Please resolve ASAP.,Negative
COMP0000027,CUST100026,2024-02-05,Network,Call,No signal inside my home for hours. Kindly look into this.,Negative
COMP0000028,CUST100029,2025-03-09,Coverage,Call,No bars in the office basement.,Negative
COMP0000029,CUST100029,2025-09-30,Network,Twitter,Network keeps disconnecting frequently. Please resolve ASAP.,Neutral
COMP0000030,CUST100029,2025-09-30,Portability,Call,Porting code (UPC) not received. Please resolve ASAP.,Neutral
COMP0000031,CUST100032,2025-07-02,Value,Email,Competitors offer more data for less. Please resolve ASAP.,Neutral
COMP0000032,CUST100033,2024-05-12,Activation,Call,KYC done but still not activated. Kindly look into this.,Negative
COMP0000033,CUST100033,2025-03-20,Speed,App,Streaming keeps buffering. Please resolve ASAP.,Negative
COMP0000034,CUST100034,2025-01-14,Value,Twitter,Plan price is too high for the benefits. Kindly look into this.,Negative
COMP0000035,CUST100035,2024-02-10,Portability,Call,Need help to port to your network. Please resolve ASAP.,Negative
COMP0000036,CUST100037,2025-05-05,Coverage,Email,Coverage maps seem inaccurate. Please resolve ASAP.,Negative
COMP0000037,CUST100038,2024-03-12,Value,Call,Competitors offer more data for less.,Negative
COMP0000038,CUST100038,2025-08-31,Speed,Email,Speed fluctuates a lot while working. Requesting a quick fix.,Negative
COMP0000039,CUST100038,2024-02-08,Network,Email,SIM shows no service randomly.,Negative
COMP0000040,CUST100039,2025-04-25,Speed,Twitter,Downloads are extremely slow in the evening.,Negative
COMP0000041,CUST100041,2025-05-14,Activation,App,Port-in request stuck at activation.,Negative
COMP0000042,CUST100041,2025-03-14,Billing,Call,Why are fees so high this cycle?,Negative
COMP0000043,CUST100043,2025-04-22,Portability,Email,Port request denied without reason.,Negative
COMP0000044,CUST100044,2025-10-03,Activation,App,KYC done but still not activated.,Neutral
COMP0000045,CUST100046,2025-02-16,Billing,Call,I was double charged and need a refund.,Negative
COMP0000046,CUST100047,2024-12-01,Customer_Service,Call,Agent promised a callback that never came.,Positive
COMP0000047,CUST100047,2025-07-29,Value,Call,Hidden charges reduce the value. Requesting a quick fix.,Negative
COMP0000048,CUST100047,2025-03-15,Billing,Web,My bill is incorrect this month. Kindly look into this.,Negative
COMP0000049,CUST100049,2025-05-07,Value,Call,Not satisfied with the value of the service. Requesting a quick fix.,Neutral
COMP0000050,CUST100050,2024-10-27,Customer_Service,Call,Support is not responding to tickets. Please resolve ASAP.,Neutral
COMP0000051,CUST100051,2025-10-02,Speed,Email,Downloads are extremely slow in the evening.,Negative
COMP0000052,CUST100051,2024-01-30,Speed,App,Streaming keeps buffering.,Neutral
COMP0000053,CUST100052,2024-10-28,Value,App,Hidden charges reduce the value.,Negative
COMP0000054,CUST100054,2025-07-08,Customer_Service,Call,Agent promised a callback that never came. Kindly look into this.,Neutral
COMP0000055,CUST100056,2024-04-02,Coverage,App,Poor coverage in my neighborhood.,Negative
COMP0000056,CUST100056,2024-08-12,Customer_Service,Email,Support is not responding to tickets. Please resolve ASAP.,Negative
COMP0000057,CUST100056,2025-10-03,Customer_Service,Call,Chat support keeps closing my case. Please resolve ASAP.,Neutral
COMP0000058,CUST100057,2025-05-28,Coverage,Twitter,Signal is weak along my commute route.,Negative
COMP0000059,CUST100057,2024-07-26,Customer_Service,Call,Long wait times when I call customer care. Please resolve ASAP.,Negative
COMP0000060,CUST100058,2024-10-23,Network,Email,SIM shows no service randomly. Requesting a quick fix.,Negative
COMP0000061,CUST100059,2025-01-05,Customer_Service,Call,Long wait times when I call customer care. Requesting a quick fix.,Negative
COMP0000062,CUST100060,2025-04-16,Portability,App,Need help to port to your network.,Neutral
COMP0000063,CUST100061,2024-07-05,Coverage,Email,Signal is weak along my commute route.,Negative
COMP0000064,CUST100062,2025-01-02,Portability,Email,Port request denied without reason.,Neutral
COMP0000065,CUST100063,2024-03-11,Speed,Call,Internet speed is far below plan speed.,Negative
COMP0000066,CUST100066,2024-01-04,Network,Twitter,Network keeps disconnecting frequently. Please resolve ASAP.,Neutral
COMP0000067,CUST100066,2025-01-07,Portability,Web,Porting code (UPC) not received. Kindly look into this.,Negative
COMP0000068,CUST100066,2025-02-05,Speed,Email,Speed fluctuates a lot while working.,Negative
COMP0000069,CUST100068,2024-11-13,Activation,Web,KYC done but still not activated.,Negative
COMP0000070,CUST100068,2024-05-08,Network,Twitter,No signal inside my home for hours. Please resolve ASAP.,Positive
COMP0000071,CUST100069,2024-07-12,Value,Call,Plan price is too high for the benefits. Kindly look into this.,Negative
COMP0000072,CUST100069,2024-04-17,Value,App,Competitors offer more data for less.,Negative
COMP0000073,CUST100070,2025-02-24,Customer_Service,App,Long wait times when I call customer care. Kindly look into this.,Negative
COMP0000074,CUST100070,2024-06-07,Portability,Email,Issues while porting my number. Kindly look into this.,Negative
