ComplaintID,CustomerID,ComplaintDate,ComplaintCategory,Channel,ComplaintText,SentimentLabel,SentimentScore
COMP00001,CUST88085,2024-08-06,Billing,Email,Service is neither good nor bad.,Neutral,0.19
COMP00002,CUST67536,2025-07-29,Speed,Twitter,Internet speed is very good and stable.,Positive,0.67
COMP00003,CUST83166,2024-09-24,Customer Service,Web,eSIM activation failed multiple times.,Negative,-0.77
COMP00004,CUST48189,2025-05-16,Billing,Web,I am being charged incorrectly every month.,Negative,-0.44
COMP00005,CUST57782,2025-09-06,Activation,Email,"Billing is okay, nothing special.",Neutral,0.08
COMP00006,CUST69148,2024-06-29,Network,App,The plan is too expensive for the service provided.,Negative,-0.69
COMP00007,CUST10659,2024-02-08,Plans,App,Internet speed is very good and stable.,Positive,0.59
COMP00008,CUST79077,2025-05-02,Speed,Call,Plan is okay compared to others.,Neutral,-0.15
COMP00009,CUST77493,2025-01-11,Plans,App,Billing was clear and transparent this month.,Positive,0.72
COMP00010,CUST23773,2024-08-25,Billing,Twitter,eSIM activation failed multiple times.,Negative,-0.37
COMP00011,CUST28385,2024-09-05,Customer Service,Web,eSIM activation failed multiple times.,Negative,-0.43
COMP00012,CUST34106,2024-10-25,Coverage,Email,Billing was clear and transparent this month.,Positive,0.44
COMP00013,CUST64855,2025-03-17,Activation,App,Calls keep dropping frequently.,Negative,-0.82
COMP00014,CUST12040,2025-05-26,Billing,Twitter,I am satisfied with the service quality.,Positive,0.31
COMP00015,CUST77357,2024-04-24,Billing,Email,The network quality has improved a lot recently.,Positive,0.82
COMP00016,CUST97217,2025-07-19,Speed,Web,The network quality has improved a lot recently.,Positive,0.74
COMP00017,CUST86433,2024-03-14,Activation,Twitter,Network is very poor in my area.,Negative,-0.4
COMP00018,CUST27602,2025-09-23,Customer Service,Twitter,Network is very poor in my area.,Negative,-0.31
COMP00019,CUST20584,2025-08-10,Activation,Call,eSIM activation failed multiple times.,Negative,-0.65
COMP00020,CUST79928,2025-07-14,Plans,Call,Service is neither good nor bad.,Neutral,-0.07
COMP00021,CUST69827,2025-09-12,Customer Service,Twitter,I am satisfied with the service quality.,Positive,0.83
COMP00022,CUST17493,2024-12-03,Billing,Web,I am satisfied with the service quality.,Positive,0.77
COMP00023,CUST64327,2025-07-31,Speed,App,The network quality has improved a lot recently.,Positive,0.8
COMP00024,CUST51302,2024-05-04,Customer Service,Email,The network quality has improved a lot recently.,Positive,0.85
COMP00025,CUST44457,2024-06-13,Activation,Web,eSIM activation failed multiple times.,Negative,-0.56
COMP00026,CUST42461,2024-10-08,Activation,Twitter,Customer service never responds properly.,Negative,-0.7
COMP00027,CUST56310,2024-11-25,Billing,Call,The plan offers great value for money.,Positive,0.48
COMP00028,CUST85572,2024-06-25,Portability,Call,The plan offers great value for money.,Positive,0.33
COMP00029,CUST91506,2024-10-02,Billing,App,I am being charged incorrectly every month.,Negative,-0.99
COMP00030,CUST51712,2025-05-20,Speed,Call,The plan is too expensive for the service provided.,Negative,-0.9
COMP00031,CUST89932,2025-05-13,Plans,Email,The plan is too expensive for the service provided.,Negative,-0.66
COMP00032,CUST12472,2024-07-24,Billing,Email,Network is very poor in my area.,Negative,-0.99
COMP00033,CUST76141,2024-04-24,Activation,App,"Billing is okay, nothing special.",Neutral,0.08
COMP00034,CUST26415,2024-06-05,Portability,Call,The network quality has improved a lot recently.,Positive,0.48
COMP00035,CUST73021,2024-11-04,Billing,Web,Network works fine but could be better.,Neutral,0.06
